Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_Carbon,Trihalomethanes,Turbidity,pH_binned,Solids_Sulfate,Sulfate_Hardness,Solids_Organic_Carbon,Potability
0.6119781037202062,0.49075955834738855,0.6186075539357729,0.6131793447182088,0.35582075391704576,0.7211557638991801,0.8950392055843428,0.6517430924788659,3,-0.005694923683340181,-0.004090745155407082,-0.00013232460147184942,0
0.40243700304338204,0.39939457513640264,0.42671736011187705,0.38710503297147003,0.4331812208410691,0.34397168576593795,0.09435918320771342,0.5225272243636356,3,-0.005694923683340181,-0.004090745155407082,-0.00013232460147184942,0
0.44785587732899945,0.6429866956107116,0.5533478176253299,0.4671014137391476,0.17356249634406723,0.17076575883864453,0.3628767824324526,0.1688858720154474,0,-0.005694923683340181,-0.004090745155407082,-0.00013232460147184942,0
0.8242049593590631,0.6430099653984281,0.5493570738193347,0.7910258240650776,0.1805705715541503,0.4663364071484397,0.7106593693883617,0.19532215266573133,3,-0.005694923683340181,-0.004090745155407082,-0.00013232460147184942,0
0.5426270679950077,0.3019800282318927,0.1750986891390423,0.3540962093025626,0.6009075074463204,0.3881451376752114,0.4552001168787515,0.5986873817306999,3,-0.005694923683340181,-0.004090745155407082,-0.00013232460147184942,0
0.6929562398311179,0.5691565758049855,0.7477241235345786,0.8412126325561715,0.7974280148229014,0.6932590605729865,0.5627283466042707,0.5914849328167804,3,-0.005694923683340181,-0.004090745155407082,-0.00013232460147184942,0
0.3043121281926576,0.7267631456839159,0.5540876221251472,0.46684023627113436,0.49255396601738793,0.5648852673447446,0.6419650931358926,0.4261958759002448,2,-0.005694923683340181,-0.004090745155407082,-0.00013232460147184942,0
0.2487915808920491,0.41639961575407225,0.05370665948160125,0.25271074383212255,0.3215884448912966,0.5836793913946299,0.6508778039992886,0.37566295674288414,2,-0.005694923683340181,-0.004090745155407082,-0.00013232460147184942,0
0.4379024950627587,0.9215658033683368,0.8177956213681536,0.6499387225238418,0.6936574784730316,0.34295729240835715,0.598987992331032,0.592835294675919,1,-0.005694923683340181,-0.004090745155407082,-0.00013232460147184942,0
0.9863244784993338,0.5365142766427733,0.47217912114721566,0.8136916786081902,0.6083190215315006,0.44427238877111686,0.5566452071030341,0.6225462232709935,3,-0.005694923683340181,-0.004090745155407082,-0.00013232460147184942,0
